id,Unnamed: 0,probe,device,model,brand,height,width,channels
0,0,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0002.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
1,1,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0003.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
2,2,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0004.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
3,3,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0005.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,2560,1920,3
4,4,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0006.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,2560,1920,3
5,5,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0008.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
6,6,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0015.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
7,7,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0016.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
8,8,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0018.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
9,9,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0019.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
10,10,/nas/public/dataset/Vision/dataset/D01_Samsung_GalaxyS3Mini/images/nat/D01_I_nat_0020.jpg,D01_Samsung_GalaxyS3Mini,Samsung_GalaxyS3Mini,Samsung,1920,2560,3
